miRNA	Gene	Input
cfa-miR-26b	RSPRY1	-1
cfa-miR-26b	CLASP2	-1
cfa-miR-26b	PTGS2	-1
cfa-miR-26b	CDK8	-1
cfa-miR-26b	EPB41L3	-1
cfa-miR-26b	TBC1D30	-1
cfa-miR-26b	KLHL42	-1
cfa-miR-26b	FAM98A	-1
cfa-miR-26b	NASP	-1
cfa-miR-26b	NCEH1	-1
cfa-miR-26b	STRADB	-1
cfa-miR-26b	TMEM106B	-1
cfa-miR-26b	ADM	-1
cfa-miR-26b	BOD1	-1
cfa-miR-26b	CRADD	-1
cfa-miR-26b	BLOC1S2	-1
cfa-miR-26b	OTUD4	-1
cfa-miR-26b	NAP1L5	-1
cfa-miR-26b	ITGB8	-1
cfa-miR-26b	OSBPL11	-1
cfa-miR-26b	COX7A2L	-1
cfa-miR-26b	LARP1	-1
cfa-miR-26b	ZNF608	-1
cfa-miR-26b	TET2	-1
cfa-miR-26b	EPC2	-1
cfa-miR-26b	TMC7	-1
cfa-miR-26b	SLC25A16	-1
cfa-miR-26b	MTX2	-1
hsa-miR-7151-3p	GATAD1	-1
hsa-miR-7151-3p	DDX51	-1
hsa-miR-7151-3p	FGD4	-1
hsa-miR-7151-3p	RINL	-1
hsa-miR-7151-3p	DNPEP	-1
hsa-miR-7151-3p	CTSB	-1
hsa-miR-7151-3p	SMIM14	-1
hsa-miR-7151-3p	PRR11	-1
hsa-miR-7151-3p	CYP20A1	-1
hsa-miR-7151-3p	GCLM	-1
hsa-miR-7151-3p	MIGA1	-1
hsa-miR-7151-3p	SCN2A	-1
hsa-miR-7151-3p	RAD21	-1
hsa-miR-7151-3p	PBLD	-1
hsa-miR-7151-3p	LETM2	-1
hsa-miR-7151-3p	WAC	-1
hsa-miR-7151-3p	INIP	-1
hsa-miR-7151-3p	CEP126	-1
hsa-miR-7151-3p	NR2C1	-1
hsa-miR-7151-3p	EPS15	-1
hsa-miR-6856-5p	MLEC	-1
hsa-miR-6856-5p	SCUBE3	-1
hsa-miR-6856-5p	RORA	-1
hsa-miR-6856-5p	ATRAID	-1
hsa-miR-6856-5p	PEX19	-1
hsa-miR-6856-5p	NT5E	-1
hsa-miR-6856-5p	USB1	-1
hsa-miR-6856-5p	GNAQ	-1
hsa-miR-6856-5p	BASP1	-1
hsa-miR-6856-5p	CBFA2T3	-1
hsa-miR-6856-5p	TMEM121B	-1
gga-miR-190a-3p	CCDC88A	-1
gga-miR-190a-3p	BCL6	-1
gga-miR-190a-3p	VSNL1	-1
gga-miR-190a-3p	MEF2A	-1
gga-miR-190a-3p	JADE3	-1
gga-miR-190a-3p	HPCAL1	-1
gga-miR-190a-3p	RASSF9	-1
gga-miR-190a-3p	TMEM47	-1
gga-miR-190a-3p	MAML3	-1
gga-miR-190a-3p	OSBP2	-1
gga-miR-190a-3p	MGLL	-1
gga-miR-190a-3p	EML4	-1
gga-miR-190a-3p	FAM107B	-1
gga-miR-190a-3p	PRRX2	-1
gga-miR-190a-3p	ETV1	-1
gga-miR-190a-3p	FAM126B	-1
gga-miR-190a-3p	IRX5	-1
gga-miR-190a-3p	KANSL1L	-1
gga-miR-190a-3p	PCGF3	-1
gga-miR-190a-3p	ROCK2	-1
gga-miR-190a-3p	TTBK2	-1
gga-miR-190a-3p	ITGB4	-1
gga-miR-190a-3p	KAT6A	-1
gga-miR-190a-3p	TJP1	-1
gga-miR-190a-3p	RARB	-1
gga-miR-190a-3p	CREB1	-1
gga-miR-190a-3p	EPB41	-1
gga-miR-190a-3p	CBX3	-1
gga-miR-190a-3p	SLC4A5	-1
gga-miR-190a-3p	PTPN3	-1
gga-miR-190a-3p	STARD13	-1
gga-miR-190a-3p	BRWD3	-1
gga-miR-190a-3p	ARVCF	-1
gga-miR-190a-3p	KIAA1958	-1
gga-miR-190a-3p	KANSL3	-1
gga-miR-190a-3p	PRDM15	-1
gga-miR-190a-3p	ZSWIM6	-1
gga-miR-190a-3p	TMEM108	-1
gga-miR-190a-3p	CEP162	-1
gga-miR-190a-3p	NFAT5	-1
gga-miR-190a-3p	CDH18	-1
gga-miR-190a-3p	RC3H1	-1
gga-miR-190a-3p	EYA4	-1
gga-miR-190a-3p	MFSD14A	-1
gga-miR-190a-3p	ARRDC1	-1
gga-miR-190a-3p	PCNX1	-1
gga-miR-190a-3p	GOLGA3	-1
gga-miR-190a-3p	RXFP2	-1
gga-miR-190a-3p	IGSF3	-1
gga-miR-190a-3p	TCF20	-1
gga-miR-190a-3p	OSBPL8	-1
gga-miR-190a-3p	HDAC4	-1
gga-miR-190a-3p	KCTD1	-1
